0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=24&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=37&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=32&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=14&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=25&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=19&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=42&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=26&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=9&fileName=main1.jpg HTTP/1.1" 200 20973
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=2&fileName=main1.jpg HTTP/1.1" 200 40868
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:18 +0900] "GET /AA/thumbnails.do?goods_num=8&fileName=main1.jpg HTTP/1.1" 200 34273
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/goods/goodsListByCategory.do HTTP/1.1" 200 39745
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=18&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=36&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=31&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=23&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=41&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=13&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=30&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=35&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=24&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=3&fileName=main1.jpg HTTP/1.1" 200 45079
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=40&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=17&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=22&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=5&fileName=main1.jpg HTTP/1.1" 200 23417
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=12&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=26&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:53:20 +0900] "GET /AA/thumbnails.do?goods_num=29&fileName=main1.jpg HTTP/1.1" 200 8192
