0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=10&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=22&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=40&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=26&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=29&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=34&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=39&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=16&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=11&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=21&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=33&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=28&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=6&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=4&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=15&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=3&fileName=main1.jpg HTTP/1.1" 200 45079
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=38&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=27&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=20&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:18:31 +0900] "GET /AA/thumbnails.do?goods_num=43&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/goods/goodsListByCategory.do HTTP/1.1" 200 39642
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=10&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=40&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=11&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=29&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=26&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=22&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=34&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=16&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=39&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=6&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=21&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=4&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=28&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=33&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=15&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=38&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=20&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=43&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=27&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:46 +0900] "GET /AA/thumbnails.do?goods_num=3&fileName=main1.jpg HTTP/1.1" 200 45079
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/goods/goodsListByCategory.do HTTP/1.1" 200 39642
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=10&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=40&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=22&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=26&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=29&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=11&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=16&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=21&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=39&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=34&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=6&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=28&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=4&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=3&fileName=main1.jpg HTTP/1.1" 200 45079
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=33&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=15&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=43&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:19:47 +0900] "GET /AA/thumbnails.do?goods_num=27&fileName=main1.jpg HTTP/1.1" 200 8192
